Field	Type	Null	Key	Default	Extra
id	int(11)	NO	PRI	NULL	auto_increment
state_id	int(11)	YES		NULL	
lga_id	int(11)	YES		NULL	
facility_name	text	YES		NULL	
facility_level_id	int(11)	YES		NULL	
hs_sig_unique_id	varchar(100)	NO		NULL	
facility_level_option_id	int(11)	YES		NULL	
hs_sp_option	varchar(100)	YES		NULL	
ownership_id	int(11)	YES		NULL	
ownership_type_id	int(11)	YES		NULL	
hs_ownership_details	text	YES		NULL	
hs_op_status	int(11)	NO		NULL	
hs_reg_status	int(11)	YES		NULL	
hs_lic_status	int(11)	YES		NULL	
hs_service_type_outpatient	varchar(100)	YES		NULL	
hs_service_type_inpatient	varchar(100)	YES		NULL	
hs_outpatient_medical	text	YES		NULL	
hs_outpatient_surgery	text	YES		NULL	
hs_outpatient_obstetrics	text	YES		NULL	
hs_outpatient_pediatrics	text	YES		NULL	
hs_outpatient_dental	text	YES		NULL	
hs_inpatient_acc_and_emg	varchar(20)	YES		NULL	
hs_inpatient_acc_and_emg_num	int(11)	YES		NULL	
hs_inpatient_adm_fac	varchar(20)	YES		NULL	
hs_inpatient_adm_fac_num	int(11)	YES		NULL	
hs_inpatient_int_care_service	varchar(20)	YES		NULL	
hs_inpatient_int_care_service_num	int(11)	YES		NULL	
hs_specific_clinical_services	text	YES		NULL	
hs_no_doctors	int(11)	YES		NULL	
hs_no_single_qualified_nurses	int(11)	YES		NULL	
hs_no_single_qualified_midwives	int(11)	YES		NULL	
hs_nurses_midwives	int(11)	YES		NULL	
hs_no_pharm	int(11)	YES		NULL	
hs_no_lab_sc	int(11)	YES		NULL	
hs_no_dentist	int(11)	YES		NULL	
hs_no_comm_health_officer	int(11)	YES		NULL	
hs_no_comm_health_ext_officer	int(11)	YES		NULL	
hs_no_jun_comm_health_ext_off	int(11)	YES		NULL	
hs_onsite_pharm	enum('Yes','No')	YES		No	
hs_onsite_lab	enum('Yes','No')	YES		No	
hs_onsite_radio	enum('Yes','No')	YES		No	
hs_mort_service	enum('Yes','No')	YES		No	
hs_dhis_ident	text	YES		NULL	
hs_datim_ident	varchar(32)	YES		NULL	
hs_lmis_ident	varchar(32)	YES		NULL	
hs_hris_ident	varchar(32)	YES		NULL	
hs_ennrims_ident	varchar(32)	YES		NULL	
hs_flag_old	enum('Yes','No')	NO		No	
hs_no_env_health_officer	int(11)	YES		NULL	
hs_no_lab_tech	int(11)	YES		NULL	
hs_no_health_rec	int(11)	YES		NULL	
hs_no_pharm_tech	int(11)	YES		NULL	
hs_no_dental_tech	int(11)	YES		NULL	
hs_flag	enum('1','0')	NO		0	
statecode	varchar(5)	YES		NULL	
status_id	int(11)	YES		6	
created_by	int(11)	YES		1	
requested_by	int(11)	YES		1	
requested_at	datetime	YES		current_timestamp()	
request_note	text	YES		NULL	
verified_by	int(11)	YES		NULL	
verified_at	datetime	YES		NULL	
verify_note	text	YES		NULL	
validated_by	int(11)	YES		NULL	
validated_at	datetime	YES		NULL	
validate_note	text	YES		NULL	
published_by	int(11)	YES		NULL	
published_at	datetime	YES		NULL	
publish_note	text	YES		NULL	
image_url	longtext	YES		NULL	
unique_id	varchar(50)	YES		NULL	
